GEOID,cbsa_code,cbsa_title,county_fips,NAME,total_commuters,Car_count,Transit_count,NonTransit_count,ExcludedWFH_count,class3_denominator,tripmode_denominator,share_sum,Car_share,Transit_share,NonTransit_share,label_schema,label_version,wfh_policy
13013180103,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1801.03; Barrow County; Georgia,2899.0,2396.0,0.0,114.0,389.0,2510.0,2510.0,1.0,0.9545816733067729,0.0,0.04541832669322709,commute_tripmode3_contract,v2.0,excluded
13013180104,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1801.04; Barrow County; Georgia,1386.0,1260.0,0.0,22.0,104.0,1282.0,1282.0,1.0,0.982839313572543,0.0,0.0171606864274571,commute_tripmode3_contract,v2.0,excluded
13013180105,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1801.05; Barrow County; Georgia,1567.0,1343.0,0.0,31.0,193.0,1374.0,1374.0,1.0,0.9774381368267832,0.0,0.022561863173216887,commute_tripmode3_contract,v2.0,excluded
13013180106,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1801.06; Barrow County; Georgia,1148.0,985.0,0.0,40.0,123.0,1025.0,1025.0,1.0,0.9609756097560975,0.0,0.03902439024390244,commute_tripmode3_contract,v2.0,excluded
13013180107,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1801.07; Barrow County; Georgia,1840.0,1729.0,0.0,52.0,59.0,1781.0,1781.0,1.0,0.9708029197080292,0.0,0.029197080291970802,commute_tripmode3_contract,v2.0,excluded
13013180108,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1801.08; Barrow County; Georgia,1657.0,1447.0,0.0,29.0,181.0,1476.0,1476.0,1.0,0.9803523035230353,0.0,0.01964769647696477,commute_tripmode3_contract,v2.0,excluded
13013180203,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1802.03; Barrow County; Georgia,1426.0,1318.0,0.0,48.0,60.0,1366.0,1366.0,1.0,0.9648609077598829,0.0,0.03513909224011713,commute_tripmode3_contract,v2.0,excluded
13013180204,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1802.04; Barrow County; Georgia,1510.0,1349.0,0.0,42.0,119.0,1391.0,1391.0,1.0,0.9698058950395398,0.0,0.0301941049604601,commute_tripmode3_contract,v2.0,excluded
13013180205,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1802.05; Barrow County; Georgia,2621.0,2438.0,0.0,0.0,183.0,2438.0,2438.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13013180206,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1802.06; Barrow County; Georgia,1765.0,1552.0,0.0,71.0,142.0,1623.0,1623.0,1.0,0.9562538508934073,0.0,0.04374614910659273,commute_tripmode3_contract,v2.0,excluded
13013180301,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1803.01; Barrow County; Georgia,1641.0,1493.0,0.0,21.0,127.0,1514.0,1514.0,1.0,0.9861294583883752,0.0,0.013870541611624834,commute_tripmode3_contract,v2.0,excluded
13013180302,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1803.02; Barrow County; Georgia,2890.0,2745.0,0.0,0.0,145.0,2745.0,2745.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13013180303,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1803.03; Barrow County; Georgia,3070.0,2783.0,0.0,0.0,287.0,2783.0,2783.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13013180401,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1804.01; Barrow County; Georgia,3211.0,2942.0,0.0,28.0,241.0,2970.0,2970.0,1.0,0.9905723905723905,0.0,0.009427609427609427,commute_tripmode3_contract,v2.0,excluded
13013180402,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1804.02; Barrow County; Georgia,3333.0,2988.0,2.0,113.0,230.0,3103.0,3103.0,1.0,0.9629390912020626,0.0006445375443119562,0.036416371253625526,commute_tripmode3_contract,v2.0,excluded
13013180501,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1805.01; Barrow County; Georgia,4555.0,4100.0,0.0,100.0,355.0,4200.0,4200.0,1.0,0.9761904761904762,0.0,0.023809523809523808,commute_tripmode3_contract,v2.0,excluded
13013180502,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1805.02; Barrow County; Georgia,2705.0,2506.0,0.0,14.0,185.0,2520.0,2520.0,1.0,0.9944444444444445,0.0,0.005555555555555556,commute_tripmode3_contract,v2.0,excluded
13013180503,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13013,Census Tract 1805.03; Barrow County; Georgia,3176.0,2946.0,9.0,85.0,136.0,3040.0,3040.0,1.0,0.969078947368421,0.0029605263157894738,0.027960526315789474,commute_tripmode3_contract,v2.0,excluded
13015960101,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9601.01; Bartow County; Georgia,786.0,748.0,0.0,0.0,38.0,748.0,748.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13015960103,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9601.03; Bartow County; Georgia,1464.0,1273.0,0.0,21.0,170.0,1294.0,1294.0,1.0,0.9837712519319938,0.0,0.01622874806800618,commute_tripmode3_contract,v2.0,excluded
13015960104,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9601.04; Bartow County; Georgia,1506.0,1246.0,0.0,0.0,260.0,1246.0,1246.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13015960105,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9601.05; Bartow County; Georgia,2088.0,1725.0,0.0,0.0,363.0,1725.0,1725.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13015960201,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9602.01; Bartow County; Georgia,1067.0,873.0,0.0,0.0,194.0,873.0,873.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13015960202,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9602.02; Bartow County; Georgia,1714.0,1485.0,0.0,90.0,139.0,1575.0,1575.0,1.0,0.9428571428571428,0.0,0.05714285714285714,commute_tripmode3_contract,v2.0,excluded
13015960203,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9602.03; Bartow County; Georgia,1898.0,1729.0,0.0,0.0,169.0,1729.0,1729.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13015960301,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9603.01; Bartow County; Georgia,1694.0,1609.0,0.0,1.0,84.0,1610.0,1610.0,1.0,0.9993788819875776,0.0,0.0006211180124223603,commute_tripmode3_contract,v2.0,excluded
13015960302,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9603.02; Bartow County; Georgia,1934.0,1764.0,0.0,14.0,156.0,1778.0,1778.0,1.0,0.9921259842519685,0.0,0.007874015748031496,commute_tripmode3_contract,v2.0,excluded
13015960403,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9604.03; Bartow County; Georgia,2077.0,1990.0,15.0,42.0,30.0,2047.0,2047.0,1.0,0.9721543722520762,0.0073277967757694185,0.02051783097215437,commute_tripmode3_contract,v2.0,excluded
13015960404,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9604.04; Bartow County; Georgia,3117.0,2757.0,174.0,20.0,166.0,2951.0,2951.0,1.0,0.9342595730260929,0.058963063368349715,0.006777363605557438,commute_tripmode3_contract,v2.0,excluded
13015960405,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9604.05; Bartow County; Georgia,2753.0,2134.0,74.0,13.0,532.0,2221.0,2221.0,0.9999999999999999,0.9608284556506078,0.033318325078793336,0.00585321927059883,commute_tripmode3_contract,v2.0,excluded
13015960406,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9604.06; Bartow County; Georgia,1180.0,889.0,0.0,63.0,228.0,952.0,952.0,1.0,0.9338235294117647,0.0,0.0661764705882353,commute_tripmode3_contract,v2.0,excluded
13015960407,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9604.07; Bartow County; Georgia,1350.0,1184.0,0.0,0.0,166.0,1184.0,1184.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13015960501,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9605.01; Bartow County; Georgia,3193.0,2836.0,0.0,122.0,235.0,2958.0,2958.0,1.0,0.9587559161595672,0.0,0.041244083840432724,commute_tripmode3_contract,v2.0,excluded
13015960502,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9605.02; Bartow County; Georgia,1289.0,1187.0,0.0,0.0,102.0,1187.0,1187.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13015960601,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9606.01; Bartow County; Georgia,2209.0,1792.0,0.0,20.0,397.0,1812.0,1812.0,1.0,0.9889624724061811,0.0,0.011037527593818985,commute_tripmode3_contract,v2.0,excluded
